gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
TP53	2	194	24	9	54	98.2597006191445	172.39208372179266	172.39208372179266	106.0992706725554	0	0	0	4.337596491155906e-25	0	0	0	8.485206255999183e-21	0	0
AHNAK	230	214	0	0	1	0.38643926148341307	0	0	0.13140922010658707	0	1.496041202031506e-8	0	0.871182136176551	0	2.0903969995814515e-5	0	1	0	0
UBB	89	1	0	0	0	0.01906258596382101	0	0	0	0	0.03688730435279175	0	1	0	0.9584189068697208	0	1	0	0
BRAF	1	111	0	1	13	78.00300502833286	5.049477272617808	5.049477272617808	12.455089484434104	0	0.2710780434424849	0	2.1971136712035973e-4	0	0.9702113026284171	0	0.18686929406993377	0	0
PIK3CA	1	85	1	0	7	48.608913871441494	4.141796081601941	4.141796081601941	5.069150616964762	0	0.32868599348070693	0	0.024075449536730607	0	0.9702113026284171	0	0.9089180106418527	0	0
ISM2	4	141	1	0	1	31.902585359160856	2.7071096284019722	2.7071096284019722	1.353377125258574	0	0.4218870623595268	0	0.4186660440626826	0	0.9702113026284171	0	1	0	0
CTNNB1	2	91	0	0	15	30.637537903941112	0	0	14.811193539181843	0	0.46219772235324696	0	4.953791873081799e-5	0	0.9702113026284171	0	0.08593663848520704	0	0
H3F3A	1	167	0	0	0	293.34406419399215	0	0	0	0	0.7972219585340807	0	1	0	0.9702113026284171	0	1	0	0
IDH1	0	72	0	0	1	1033.6009066916347	0	0	1.8653776280672392	0	0.9066364511831143	0	0.34455460838727076	0	0.9702113026284171	0	1	0	0
TEX13D	0	74	0	0	3	785.8270815876201	0	0	3.2481051006205774	0	0.9133651881068917	0	0.11234268032947814	0	0.9702113026284171	0	1	0	0
RPL10	0	45	0	0	1	889.0165572366046	0	0	3.6006126309204856	0	0.9213255764143944	0	0.21550789789914582	0	0.9702113026284171	0	1	0	0
NF2	0	4	11	6	22	47.63819866559491	1637.6738280347427	1637.6738280347427	28.5753317856609	0.03384135912747532	0	0	2.3776002754402623e-8	0.6841658139555099	0	0	2.3255308294081205e-4	0	0
NF1	4	23	34	10	37	2.5767930316713197	43.58824004240106	43.58824004240106	10.085518830624105	0.05072651674972728	0	0	2.0304344776698042e-4	0.7062500530767621	0	0	0.18639813460832605	0	0
PPM1D	0	2	26	0	13	22.14315766827587	3293.8149503258187	3293.8149503258187	16.606785979245473	0.16755295620243038	0	0	3.2969151271209144e-5	0.7260994603950114	0	0	0.06841150784087573	0	0
CEP170	2	4	31	0	0	1.0061688522677674	83.20358629299598	83.20358629299598	0	0.9942619764682477	0	0	1	0.9969119827612435	0	0	1	0	0
ATRX	2	26	21	5	36	5.492314890818281	48.65623262982085	48.65623262982085	11.178797337875874	0.0026532542540611548	1.1102230246251565e-16	1.1102230246251565e-16	9.375598989247966e-5	0.25822368018877767	3.619697134619552e-13	1.357386425482332e-13	0.12227031161844581	0	0
PTEN	0	13	6	7	13	195.1070537636679	1682.5100200101615	1682.5100200101615	24.91017896886821	1.3733341955535217e-5	5.88418203051333e-15	4.951594689828198e-14	1.4543561984869376e-6	0.00426431167197111	1.6443766982985965e-11	5.0980576485483796e-11	0.008684654156528587	0	0
SMARCB1	1	2	11	1	9	2.1108546860249615	113.89757423648112	113.89757423648112	17.638444154002883	0.5210555945631152	1.0380585280245214e-12	3.090860900556436e-13	7.649312418844458e-5	0.8993197053858885	2.538312615651961e-9	3.02317104683425e-10	0.10688274966959663	8.881784197001252e-16	9.652525692318806e-13
BCOR	3	5	9	3	25	0.9529114249126481	35.34337817713164	35.34337817713164	11.021237409565837	0.9470353814820717	1.6925461032712974e-10	7.1352923569634186e-12	1.6140405222990804e-4	0.9732437072766265	2.7591322393494266e-7	6.068721264648626e-9	0.16617821419586637	4.0745185003743245e-14	4.195038468648554e-11
FUBP1	0	1	3	7	13	10.121138014730159	799.3444745838005	799.3444745838005	15.341024852778592	0.3972599738996815	6.370400873478843e-10	3.9636183224445176e-11	5.710951335792309e-5	0.7631762759492715	9.585983222076394e-7	2.6736655732296434e-8	0.08593663848520704	7.860379014346108e-14	7.688236713931929e-11
UBC	45	1	0	0	1	0.01851904525834745	0	0	1.128471888699569	2.55351295663786e-15	0.03394772645183142	8.992806499463768e-15	0.4624278855648975	3.8424477275192165e-12	0.9584189068697208	9.77318226347279e-12	1	1.41886502547095e-13	1.3217065537267965e-10
ATAD3B	1	61	0	1	0	46.64511334844621	8.344874651001792	8.344874651001792	0	1.2212453270876722e-15	0.16226816503605435	4.6629367034256575e-15	1	1.990833424040754e-12	0.9702113026284171	5.365668693671336e-12	1	1.5853984791647235e-13	1.409707502246378e-10
CDKN2A	1	0	7	0	4	0	199.8789760754519	199.8789760754519	18.43170751542629	0.3048756084601655	8.556122477187955e-11	1.5110801498963156e-11	0.0011323081680880756	0.7278720578273148	1.5215897081704616e-7	1.182389995690869e-8	0.3253949331509607	5.594413821086164e-13	4.758170572525545e-10
KRAS	0	21	0	0	4	592.3076788558556	0	0	16.297509803113776	6.875722213806057e-12	0.9329470250957506	3.068922893589843e-11	0.001680845984934205	7.911933996851417e-9	0.9702113026284171	2.144081058728732e-8	0.35355601244390233	1.6298074001497298e-12	1.3284288484053757e-9
SETD2	0	14	11	3	19	84.92564195537813	893.1456809979798	893.1456809979798	5.734309004799291	0.0017277090324482325	3.3703040358545877e-12	8.808176410468604e-12	0.007938714394996379	0.1931282519585847	7.3255430610430494e-9	7.1793977892327856e-9	0.6364636516185211	2.1880275369312585e-12	1.7120877870979711e-9
LYZL2	0	26	0	0	0	646.213479980302	0	0	0	1.9262369477246466e-13	0.9272917165031027	7.022160630754115e-13	1	2.6915033693849667e-10	0.9702113026284171	6.54130982184819e-10	1	2.0353385643545607e-11	1.5313574229193815e-8
AHNAK2	308	455	0	0	24	0.7712074558597186	0	0	3.205514350508921	4.8765400085382105e-4	6.771117000425875e-11	2.100097873380946e-11	0.05324516733476225	0.07394951600544533	1.3245659076233098e-7	1.5391193529544644e-8	1	3.189026820393792e-11	2.310508987427532e-8
SPDYE1	2	42	0	0	0	22.61159148178567	0	0	0	2.6437740885398853e-12	0.5276184411065357	2.4027446698937638e-12	1	3.447833914667816e-9	0.9702113026284171	2.136476874202809e-9	1	6.668676721943712e-11	4.659023358380817e-8
FGFR1	2	54	1	1	4	19.711689873356523	7.161752947609834	7.161752947609834	3.6259096751658286	8.494982495221848e-12	0.0650447136332577	5.685329984572718e-11	0.07802962046881784	9.232158198418322e-9	0.9702113026284171	3.707214171940384e-8	1	1.2040501928822778e-10	8.12194133557349e-8
SEMG2	1	44	1	0	0	37.24904164483489	9.288873908056532	9.288873908056532	0	3.459676989336913e-12	0.1449321090609912	2.1243340420085133e-11	1	4.229887579088043e-9	0.9702113026284171	1.5391193529544644e-8	1	5.432979621744494e-10	3.54266491201886e-7
EGFR	0	37	0	0	8	321.4328725427313	0	0	5.113999773066255	1.553579820345874e-9	0.882025714455609	1.2924017411819477e-9	0.021131298964123663	1.1688895556002303e-6	0.9702113026284171	7.223417960286074e-7	0.8795116390131641	6.915952255326374e-10	4.3641889683449845e-7
