gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
ACVR1	0	32	0	1	2	412.7788020369987	126.62100286605954	126.62100286605954	3.035810649599625	6.508749095246458e-11	0.04073557168718689	4.71724881379032e-10	0.15796977619426666	6.36620749006056e-8	0.9584189068697208	2.883713165480195e-7	1	1.8122826572763984e-9	1.1078710419262783e-6
HIST1H3B	0	21	0	0	0	522.6914213564542	0	0	0	4.1029402098047285e-11	0.9504126404973365	2.4367530215840816e-10	1	4.2243008623263207e-8	0.9702113026284171	1.5376697615557356e-7	1	5.637473043940133e-9	3.3418256874411174e-6
TAS2R19	0	22	0	0	1	446.330391282033	0	0	2.580439052159681	2.5110324930466277e-10	0.9329376979560775	1.0847501785704594e-9	0.2763327885222227	2.232764437680824e-7	0.9702113026284171	6.241142056822155e-7	1	6.872734492624488e-9	3.954248004256478e-6
CIC	8	15	6	3	35	0.9939098210672805	10.961638530323558	10.961638530323558	10.773204790328688	0.9888363084110741	5.009803228817056e-6	5.344566993081834e-6	1.2937666150395584e-4	0.9934577507645951	0.005444542820117736	0.0016084679925948743	0.1488744854317873	1.527593063155308e-8	8.537935857555467e-6
IFITM3	0	17	0	0	0	548.3240516376327	0	0	0	1.4345646892621744e-10	0.9494433031007107	8.5425133633521e-10	1	1.3363311643498407e-7	0.9702113026284171	5.063898376178599e-7	1	1.8691698966399883e-8	1.0156861532797626e-5
CT45A9	1	22	0	0	0	38.90434534966356	0	0	0	4.0370984333293336e-10	0.7276685103348282	1.3704476442555347e-9	1	3.433639980556018e-7	0.9702113026284171	7.446860226924103e-7	1	2.933871912080832e-8	1.5511460093006822e-5
PRX	33	5	1	0	2	0.09426195462094926	0.40911378189278463	0.40911378189278463	1.0590037149766134	5.378533174393851e-10	0.30746103722365126	4.27526292146041e-9	0.4203071063031038	4.3839527482288554e-7	0.9702113026284171	2.260343061340771e-6	1	3.7981910838702504e-8	1.9552687890176273e-5
HYAL3	72	21	0	0	2	0.30090565055073365	0	0	3.703979500707676	1.2033799168253978e-7	6.46231557277499e-4	1.6809774683324008e-8	0.12364223595571633	6.362302144037415e-5	0.2689698239034561	8.220820308879606e-6	1	4.362904426624681e-8	2.188388112657231e-5
ZNF696	1	26	0	0	3	25.150421498631225	0	0	6.193053725183234	5.6225457067959894e-8	0.772632990067268	2.2992741954830365e-7	0.036135774657718986	3.403714341090123e-5	0.9702113026284171	9.17926567592636e-5	1	1.6289830240268088e-7	7.874406409325547e-5
CYP2A6	24	1	5	0	1	0.039126460137942694	2.527047795677002	2.527047795677002	1.5639024558543522	1.3732457748716342e-7	0.08912349456914104	2.190507042421075e-8	0.384630918960671	7.069324696852344e-5	0.9702113026284171	1.0451389942400261e-5	1	1.6506995548226655e-7	7.874406409325547e-5
DDX3X	0	21	3	1	9	190.4168286718872	361.75808149020764	361.75808149020764	9.492078257263133	4.379591756920043e-6	7.224724412557837e-5	4.6449560587857874e-6	0.001860167532846192	0.0015053456838976704	0.0487345030891229	0.0014197598503432433	0.3748220655561818	1.6906505939662253e-7	7.874406409325547e-5
SAP30	0	20	1	0	0	412.2583152377112	316.9493322391532	316.9493322391532	0	1.3787008201759932e-9	0.015171164770364287	8.990086675098041e-9	1	1.0788058177713111e-6	0.9584189068697208	4.628001987849155e-6	1	1.7555071119002008e-7	7.986332586742262e-5
GZMH	0	19	0	0	0	406.49803445628726	0	0	0	2.311423608070129e-9	0.9284269978790824	9.419192981141578e-9	1	1.6746692081876984e-6	0.9702113026284171	4.724570592233117e-6	1	1.8349074359935713e-7	8.157831650660509e-5
PIK3R1	3	7	3	2	19	1.802523677580613	9.631611457150463	9.631611457150463	20.287589789393355	0.37373617950483273	0.0019690432880491437	0.007595009054887414	1.775821318173722e-6	0.74461242298017	0.5205192540650994	0.48806792371711416	0.008684654156528587	2.5789907220907793e-7	1.1211159223453294e-4
PTCH1	2	5	3	3	18	1.5267021978228907	24.61941562288812	24.61941562288812	9.623184310540248	0.5988474127419494	1.894113647138429e-5	3.586487100060154e-5	6.076511597773638e-4	0.9292052436354172	0.018526325582660975	0.008352245315640086	0.28414248446303947	4.062638970792065e-7	1.7276813814485733e-4
CYP4F2	1	30	0	0	0	25.641420345947967	0	0	0	2.1481915135623808e-8	0.6407501031372485	3.308058704742933e-8	1	1.4490662892519756e-5	0.9702113026284171	1.540767723385268e-5	1	6.028711783123697e-7	2.5092268064141654e-4
HCFC1	35	12	1	1	13	0.20730051555669324	0.5564760924146986	0.5564760924146986	4.835998223653415	2.9252441258176276e-7	0.3780805803715457	1.930924300230785e-6	0.018470677439342997	1.4305906397311108e-4	0.9702113026284171	6.62679669493239e-4	0.8540507908348525	6.472957395642354e-7	2.637999845282411e-4
PDGFRA	3	40	1	0	8	8.65699648108957	2.0795390120781736	2.0795390120781736	5.68170066530572	8.25506426438416e-7	0.5520195239836704	2.7104038750058734e-6	0.015246524974451529	3.7554783055786733e-4	0.9702113026284171	8.986596712349983e-4	0.7828150171921806	7.439113952623089e-7	2.96987647226965e-4
NBPF10	3	50	0	0	1	8.127003088061134	0	0	0.20393353942252482	1.063065625861448e-6	0.21295565825099538	5.3107956698994485e-8	0.8169676330483046	4.549445100409159e-4	0.9702113026284171	2.3611314748766592e-5	1	7.789395751744976e-7	3.0475231939127047e-4
PTPN11	2	34	0	0	0	14.052977087149916	0	0	0	5.7418757415383936e-8	0.4690465335869526	4.5774509294105314e-8	1	3.403714341090123e-5	0.9702113026284171	2.082420815840205e-5	1	8.193425898861406e-7	3.1427411261475847e-4
ADAMTS2	62	36	0	0	4	0.39240113728950055	0	0	2.55489015065315	4.7863622395505345e-6	2.695834850638956e-4	3.6369644573763793e-7	0.14048000491696752	0.001614324450518751	0.15510565102411547	1.3681980522153219e-4	1	9.089094977765555e-7	3.419247614520188e-4
MUC16	75	73	3	0	9	0.40087884284546327	0.2987329924245494	0.2987329924245494	0.48023059283368746	4.2583473192081556e-8	0.01251676999982998	1.3711982671527068e-7	0.6109641249909324	2.6871545244629012e-5	0.9584189068697208	5.7071022344768616e-5	1	1.4489044227739e-6	5.347824211000572e-4
SLC35G6	1	22	0	0	1	26.510949929545735	0	0	2.283574382442196	6.834253585275007e-8	0.7751550164651768	2.8992295775243093e-7	0.3010738741242049	3.932107901033815e-5	0.9702113026284171	1.1342945799106108e-4	1	1.5060754716689218e-6	5.455897847553231e-4
OR10G2	48	4	0	0	0	0.11563313257795935	0	0	0	2.7546493530650196e-8	0.11971520677392611	9.184974314457861e-8	1	1.7962150214885973e-5	0.9702113026284171	3.9928103897649925e-5	1	1.580101402165468e-6	5.619989750756525e-4
KDM6A	2	4	6	2	11	1.1241798635769014	17.410368432389156	17.410368432389156	5.954859351137725	0.8905159161463201	2.3194562905448635e-5	9.734383226156496e-6	0.00988320385685597	0.9425152421885455	0.02062418361619937	0.002720342923858191	0.6689800479163199	1.650599051772339e-6	5.711213413302057e-4
SLC10A4	0	22	0	0	0	315.19647118188726	0	0	0	2.0766721453568948e-8	0.9397403090048712	9.704524794873493e-8	1	1.4490662892519756e-5	0.9702113026284171	4.126954652985114e-5	1	1.6641404997352893e-6	5.711213413302057e-4
SOX10	0	6	1	0	12	78.853553777161	263.1675962354597	263.1675962354597	19.892035519860496	0.0058990076205304165	0.01856439022467704	0.008474062557436879	1.1955526861065234e-5	0.41886744376748736	0.9584189068697208	0.522932529175332	0.038979002742693024	1.7329460453296974e-6	5.844808713575783e-4
SLC35G5	6	33	0	0	1	7.080532225970681	0	0	2.283574382442196	1.0804697248012474e-7	0.5217511056826873	3.503113878977615e-7	0.3010738741242049	5.871152432378334e-5	0.9702113026284171	1.3436845823639235e-4	1	1.7998222811010933e-6	5.967478553033828e-4
CDKN2C	0	4	0	0	7	111.73527315805192	0	0	32.06462727535698	0.0037591132235439417	0.9505492985198709	0.013997402535850911	7.81866435997972e-6	0.3197207516476808	0.9702113026284171	0.6906098379016552	0.030589742441984653	1.8635481191520142e-6	6.07578805114195e-4
ZNF347	23	2	0	0	1	0.06262117339711029	0	0	0.9204895548726568	1.027968644651267e-7	0.02846926838505426	2.2951666411863414e-7	0.5119982325155514	5.745463607619453e-5	0.9584189068697208	9.17926567592636e-5	1	1.9926207293075038e-6	6.390106017493998e-4
NUP188	1	3	1	7	5	1.593605395862711	36.37393876718729	36.37393876718729	2.2118049018511554	0.6680817887589512	2.49735709734189e-6	8.076631828890513e-7	0.16190813104130547	0.9292052436354172	0.0030533312211376284	2.925834663643633e-4	1	2.203407915790656e-6	6.952107362693035e-4
FLG2	88	139	0	0	3	0.7622301941790994	0	0	0.9709009811637597	0.04875226137585409	8.480071589378468e-8	4.2895188356872893e-7	0.42359921951048835	0.7062500530767621	1.105914402876144e-4	1.583237121956882e-4	1	3.001906304977986e-6	9.321157323488788e-4
HLA-A	5	17	1	0	10	3.646490342912668	2.3350779431713207	2.3350779431713207	20.80999235612646	0.005078070583640404	0.48163615488372447	0.019719910161119847	1.830291687147131e-5	0.39476785420462523	0.9702113026284171	0.7913990867231987	0.051148808548531675	5.715203445721961e-6	0.0017468876532064533
KMT2D	8	22	8	2	42	1.2804313546765806	7.516308600341204	7.516308600341204	5.8709880926709985	0.5406382729459887	4.315729255022216e-5	1.0459692763586936e-4	0.005130264834948926	0.9214986576405214	0.03376971827469784	0.021313803108467463	0.5338204292620792	8.284181230888699e-6	0.002493156203671457
ARID1A	2	7	2	4	17	1.899546183315496	22.798789303589032	22.798789303589032	5.756885024503226	0.39212532677117307	2.864136441993459e-5	8.092008042759335e-5	0.008318504595060668	0.7594375624807068	0.02436010307751132	0.01720607188396284	0.6504885744955916	1.0239258496858028e-5	0.0030348541623566173
PABPC3	26	4	0	0	1	0.11837017251970602	0	0	1.224891955139089	8.081994843367468e-7	0.05372992057116732	1.999423800191913e-6	0.44258692058645194	3.7554783055786733e-4	0.9651650194794997	6.743573858509345e-4	1	1.3218713772689128e-5	0.003828069723474133
FAM25C	1	11	0	0	0	38.13669088044616	0	0	0	1.6204060926394703e-7	0.8275126376234777	8.912445129682922e-7	1	8.127790765182902e-5	0.9702113026284171	3.1699136659428604e-4	1	1.330685723321956e-5	0.003828069723474133
SPATA31E1	4	44	0	0	1	6.804207674442177	0	0	0.5353607992032534	1.7557260734157865e-6	0.35518168363433067	1.4629846675218161e-6	0.6394631568000139	6.869102689631923e-4	0.9702113026284171	5.110518940368172e-4	1	1.3922627971063584e-5	0.0039471659184050125
HLA-C	1	19	0	0	2	19.38265935110204	0	0	4.150840298380184	4.244339980696843e-6	0.6820683050117746	1.1083132249178895e-5	0.1065812337376926	0.0015053456838976704	0.9702113026284171	0.003011225459144966	1	1.730411060518744e-5	0.004835757309409667
CYP2D7	23	2	0	0	1	0.0777562547455472	0	0	1.5002552628835357	1.4808525747866952e-6	0.04805615031118238	3.3287785750069077e-6	0.39431936063365647	5.911926136321905e-4	0.9584189068697208	0.0010852927747380856	1	1.908982387133218e-5	0.005259649782690142
OR2T34	0	14	0	0	1	256.7194510551356	0	0	2.4267451901188224	1.2343570980899443e-6	0.944177227989126	5.973915757073733e-6	0.2886105369311525	5.137551819752233e-4	0.9702113026284171	0.0017442050752220354	1	2.4604760492485944e-5	0.006684976732694584
STAG2	0	5	6	1	3	37.189500818925154	380.065300229718	380.065300229718	1.8300986185529653	0.0501720934219696	2.6723740363943094e-6	7.821207336000668e-6	0.23859912091580818	0.7062500530767621	0.0030751165235262047	0.0022499773221594864	1	2.648349437184283e-5	0.007096850916465609
PLIN4	62	38	0	0	2	0.4046522193240438	0	0	1.1276499863771365	7.455741708572994e-6	0.012465663048280007	5.73149158811237e-6	0.40236501752776566	0.00247202066615432	0.9584189068697208	0.0016987793704038511	1	3.223984032307836e-5	0.008522645356757553
SMARCA4	3	34	0	0	6	6.6815632147940205	0	0	2.7614686646179702	3.835386475947722e-5	0.349075537294553	2.6040250671321985e-5	0.10603698805851651	0.010003710698998577	0.9702113026284171	0.006212187605273179	1	3.81045133275304e-5	0.009938673196175328
MAX	0	11	0	0	0	299.9688500930017	0	0	0	1.0698010153298299e-6	0.9178723073077818	4.001402066022841e-6	1	4.549445100409159e-4	0.9702113026284171	0.0012832037248448986	1	5.3734291123430644e-5	0.013830923723112504
RPS15	0	12	0	0	0	291.28524269656157	0	0	0	8.748335939001706e-7	0.9412559458851892	4.22303231051302e-6	1	3.88943062815344e-4	0.9702113026284171	0.0013324348073912207	1	5.648287611581537e-5	0.014349584708799743
H1FX	0	14	0	0	0	270.60147956097137	0	0	0	7.882534455161405e-7	0.9604860555354225	4.421060813886157e-6	1	3.7554783055786733e-4	0.9702113026284171	0.001372774470495889	1	5.892889824998804e-5	0.014779065481618794
HNRNPA2B1	9	1	1	0	8	0.1279232577540948	0.9633745935310372	0.9633745935310372	17.49450204854021	0.012067536157494563	0.9716092973709254	0.03907270640250016	1.2140841054787902e-4	0.5704105869284597	0.9735596002416634	0.945545527017947	0.1484369579461006	6.289593906538826e-5	0.01557430835439399
CHTF18	1	30	0	1	1	18.529065533359784	7.486827217798477	7.486827217798477	0.6532757094075142	1.4644660066842619e-6	0.1817356657196314	8.286732466777913e-6	0.5940568809115645	5.911926136321905e-4	0.9702113026284171	0.0023493487031175297	1	6.50873385318329e-5	0.01581980935959901
RETSAT	1	20	0	0	2	16.9342987781481	0	0	2.533982702611798	1.3075707813503534e-5	0.6357990223228452	2.5532178192677613e-5	0.19414545217252926	0.004153212762463312	0.9702113026284171	0.00616617863956987	1	6.550478264633064e-5	0.01581980935959901
PRSS1	6	23	0	0	1	5.787918222722696	0	0	2.9547012047629937	1.3163234396929013e-5	0.3469366671640035	2.057569175628604e-5	0.2503999484188464	0.004153212762463312	0.9702113026284171	0.005160277976108558	1	6.788525158185621e-5	0.016194771846881357
CFL1	15	0	0	0	3	0	0	0	11.328756814359576	2.3468344653188034e-4	0.2798565579945873	7.921532746826276e-4	0.009737997352605833	0.04250812575052447	0.9702113026284171	0.10240804949902478	0.6681360220693577	9.852670308185818e-5	0.023123853189701022
OR2T33	2	17	0	0	2	10.850418867609708	0	0	4.823250564784451	2.3358898694869623e-5	0.7065472253386748	8.954582632958452e-5	0.08687450987147191	0.0067198055333682295	0.9702113026284171	0.018835434996336907	1	9.929473816250312e-5	0.023123853189701022
ASXL1	3	3	5	0	8	0.5697133352422832	13.113639155666558	13.113639155666558	4.016247551999504	0.4904144475612038	5.227538465121251e-4	1.9639915820779397e-4	0.04139693072759042	0.8633364686728228	0.23673156701334572	0.03590617133514828	1	1.0341696841531522e-4	0.02380050277812231
SLC9B1	5	8	7	0	3	1.5389175106041473	12.823812614035875	12.823812614035875	4.5007657886506065	0.4418200845946506	3.272731381886995e-5	1.365612575999764e-4	0.06573515805998627	0.807067372755678	0.026675488038530586	0.026714113211707382	1	1.1329588114261657e-4	0.025770860778044948
RANBP2	17	5	0	1	4	0.1253403503228622	0.2704881082033196	0.2704881082033196	0.9601633682454628	4.386295060943013e-6	0.12036248760188095	2.4589235612881843e-5	0.41544716099878476	0.0015053456838976704	0.9702113026284171	0.006088792747584742	1	1.2760830779590115e-4	0.028692801346016306
NOS2	2	5	0	7	1	1.6074730267924746	22.40423985689287	22.40423985689287	0.6708247102668149	0.5539909204101503	1.1194296393957082e-5	1.8318778022718973e-5	0.5878554229152975	0.9292052436354172	0.011525411897820444	0.004653921242602968	1	1.339514885262405e-4	0.02950739410736472
OR2T4	0	14	0	0	0	238.37000846699988	0	0	0	2.2848720004908785e-6	0.9432834846974998	1.0794711337136498e-5	1	8.76405217129462e-4	0.9702113026284171	0.0029741710306628757	1	1.3424793352190267e-4	0.02950739410736472
CCDC74A	0	15	0	0	0	216.51248301237294	0	0	0	3.912220367663366e-6	0.9161621865587531	1.3141526197690823e-5	1	0.0014172380524487178	0.9702113026284171	0.0034893911838112944	1	1.608487771638245e-4	0.03476652273263105
RASAL1	0	0	1	3	0	0	381.29047449528315	381.29047449528315	0	0.7195496800177641	5.950362308659862e-5	1.3224831048486152e-5	1	0.9292052436354172	0.04311147684518675	0.0034893911838112944	1	1.617848379971143e-4	0.03476652273263105
TSPY8	0	14	0	0	0	225.58344778309817	0	0	0	3.5680376252456014e-6	0.9233000070986238	1.3378199508529143e-5	1	0.0013281047586448573	0.9702113026284171	0.0034893911838112944	1	1.6350680356824743e-4	0.03476652273263105
ACADVL	1	0	0	0	14	0	0	0	15.961478673152666	0.18862116719602717	0.6127025068604419	0.39714588960880737	3.497163267604321e-5	0.7260994603950114	0.9702113026284171	0.9898026190382732	0.06841150784087573	1.692275300817503e-4	0.03559601014472257
PSMC5	1	3	0	0	10	3.039794555174265	0	0	19.020435273904283	0.29011595213237473	0.6595285919734917	0.4698045521561073	3.281325585801964e-5	0.7260994603950114	0.9702113026284171	0.9898026190382732	0.06841150784087573	1.862248649698861e-4	0.038754583069584174
VWF	30	14	1	0	2	0.25388891885313497	0.19502938739650494	0.19502938739650494	0.5502002243410833	8.898143507019007e-6	0.034261159606167046	2.7144007286317162e-5	0.6019958238532589	0.002901091388071764	0.9584189068697208	0.006397482777529354	1	1.964441376021142e-4	0.0404509496818164
FKBP1C	3	13	0	0	0	12.225764692797334	0	0	0	3.5982799411193866e-6	0.7201136961581415	1.697344357209918e-5	1	0.0013281047586448573	0.9702113026284171	0.004368875041544791	1	2.0340738129898117e-4	0.04144849159344448
HLA-B	23	8	0	0	6	0.38944225196193544	0	0	12.795565547899244	0.014442216860568347	0.06230583311289939	0.014244245307053593	0.0012438232280598581	0.5780139035342776	0.9702113026284171	0.6983607185378005	0.3280073086597102	2.1156198356975242e-4	0.042665727037025744
LILRB2	5	29	0	0	1	5.148457299568657	0	0	1.2923734818829788	5.833943489674809e-5	0.28781211922735883	4.877846879824954e-5	0.4296904968285527	0.013917512505490075	0.9702113026284171	0.010602271184792861	1	2.467560430324811e-4	0.04925552769185097
CRIP2	0	0	0	1	6	0	185.69204709245935	185.69204709245935	16.412686550838963	0.7709919161379601	0.02705733905434049	0.049084731483246324	4.418488877526075e-4	0.9292052436354172	0.9584189068697208	0.945545527017947	0.2369506453059034	2.545904065969218e-4	0.05030603569544428
QKI	0	0	0	2	4	0	321.75968754717877	321.75968754717877	9.054172112840988	0.763642931211143	0.0018646823639393295	0.0024636746143283927	0.009556422753385066	0.9292052436354172	0.5066238389358495	0.24352308530246525	0.6642319356931295	2.7444302784329633e-4	0.053686545106705626
TGOLN2	0	14	0	0	1	184.46255460890663	0	0	1.612774407599801	1.6616981911465878e-5	0.9298459940360341	6.536543272217532e-5	0.3775101183310111	0.0049251727295772044	0.9702113026284171	0.014051413130892237	1	2.864816408729709e-4	0.05548667186888175
ZNF479	3	25	0	0	0	7.857916907894941	0	0	0	1.4643613533982247e-5	0.47121919388133304	2.5386223863055335e-5	1	0.004407051814642473	0.9702113026284171	0.00616617863956987	1	2.940055733977598e-4	0.0563856571255586
CNBP	5	0	0	0	5	0	0	0	21.503658767997347	0.03629471455558275	0.4588055923448371	0.09334377042526243	2.8094261668480105e-4	0.6841658139555099	0.9702113026284171	0.9535968522666106	0.1896744086000626	3.028592276688169e-4	0.05742531295395578
TCHH	9	54	0	0	4	2.9067490592679435	0	0	1.5928636124442475	8.109769392967703e-4	0.08444957192824742	1.0167419071460682e-4	0.26019872595717514	0.113316649189453	0.9702113026284171	0.020936321250096195	1	3.0529764580367047e-4	0.05742531295395578
GNPTG	0	1	0	0	8	17.164558958509556	0	0	20.2387376639975	0.2724555522253853	0.9084169222519125	0.5187712273361138	5.452977102624378e-5	0.7260994603950114	0.9702113026284171	0.9898026190382732	0.08593663848520704	3.2455527309860344e-4	0.06046619287957029
NELFB	0	10	0	1	5	122.10567543858738	150.92835662632118	150.92835662632118	6.153670235674915	4.490113813774288e-4	0.033791433335808474	0.0016199868742274859	0.019568911402881126	0.06982551058665509	0.9584189068697208	0.17962968604232574	0.8642968272273703	3.6010073757875016e-4	0.06645557196712745
HRNR	6	52	1	0	1	4.469125869905957	0.9500503469062027	0.9500503469062027	0.27152988973970693	2.4904944361248127e-5	0.9618971724908978	4.322677145596199e-5	0.7727242076730192	0.0070607321970251585	0.9702113026284171	0.009719564404845154	1	3.776767410466064e-4	0.06904777951732444
